age,goals,assists,annual_wage,non_penalty_goals,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play,play_time,shots_touches,position_DF,"position_DF,FW",position_FW,"position_FW,MF",position_MF,"position_MF,DF",league_Bundesliga,league_La Liga,league_Ligue 1,league_Premier League,league_Serie A
29.0,0,0,3200000.0,0.1261604938271605,2.2377777777777776,44.491006172839505,0.0,3.6607901234567897,1.7304753086419755,0.8134999999999999,3.861845679012346,1.6527283950617284,0.8093209876543209,1.1469012345679013,1.9009814814814816,1.3943333333333332,-0.3573753679180987,-2.4553924058425256,-2.761993637190646e-17,False,False,False,True,False,False,False,True,False,False,False
32.0,3,1,960000.0,0.11,3.75,33.81,0.646,2.12,3.25,1.77,5.98,2.26,0.6,1.27,0.5,0.88,1.319999010333596,1.9611017069531476,0.8278432495768391,False,False,False,True,False,False,False,True,False,False,False
26.0,1,1,180000.0,0.09,2.68,39.83,0.722,2.68,1.57,1.94,3.97,2.03,0.37,1.57,1.39,1.66,-0.3573753679180987,-0.5298960294092286,0.13118865342822558,False,False,False,True,False,False,True,False,False,False,False
24.0,0,1,200000.0,0.1261604938271605,2.2377777777777776,44.491006172839505,0.0,3.6607901234567897,1.7304753086419755,0.8134999999999999,3.861845679012346,1.6527283950617284,0.8093209876543209,1.1469012345679013,1.9009814814814816,1.3943333333333332,-0.3573753679180987,-2.6000125043276423,-2.761993637190646e-17,False,False,False,True,False,False,False,False,True,False,False
29.0,5,3,8970000.0,0.15,2.27,41.41,0.818,4.27,2.73,1.0,3.7,2.09,0.79,0.88,1.3,1.88,-0.3573753679180987,1.8649818727362737,0.3677953186207292,False,False,False,False,True,False,False,False,False,False,True
30.0,0,2,1280000.0,0.0,1.5,52.01,0.858,3.68,1.09,0.57,1.98,1.5,1.9,1.01,1.13,1.25,-0.3573753679180987,1.1583055619615357,-1.3352740995669918,False,False,False,False,False,True,False,False,False,False,True
30.0,1,2,1080000.0,0.22,4.72,49.0,0.754,4.72,1.44,0.89,7.93,1.44,0.5,1.39,0.83,1.0,-0.3573753679180987,0.0502572446911529,2.1992199790626437,False,False,False,False,True,False,False,False,True,False,False
22.0,1,2,1000000.0,0.07,1.89,56.26,0.789,4.23,2.3,0.93,7.22,1.44,0.65,1.31,1.99,0.55,-0.3573753679180987,1.3136676980919486,-0.5137418115464868,True,False,False,False,False,False,False,False,True,False,False
23.0,0,0,160000.0,0.0,1.78,50.63,0.825,4.5,2.3,1.52,1.95,1.91,0.87,0.78,1.65,0.52,-0.3573753679180987,-1.373960439049262,-1.2852646605290698,False,False,False,False,False,True,False,True,False,False,False
26.0,1,4,1100000.0,0.05,2.18,45.77,0.728,3.04,1.95,0.68,5.95,2.23,0.86,1.04,2.68,0.5,-0.3573753679180987,0.4620607128779629,-1.054884974878477,True,False,False,False,False,False,False,True,False,False,False
23.0,0,0,900000.0,0.1,4.69,44.8,0.813,6.19,4.79,3.29,7.98,3.59,0.7,2.0,0.4,0.7,-0.3573753679180987,-2.3181543372957227,0.6021537114184482,False,False,False,True,False,False,False,False,True,False,False
24.0,1,0,350000.0,0.12,2.34,36.57,0.835,3.45,1.72,1.48,2.71,1.6,0.49,0.49,0.86,0.74,-0.3573753679180987,-1.232754359816827,-0.03187536913851466,False,False,False,False,True,False,False,False,False,False,True
26.0,0,0,280000.0,0.1261604938271605,2.2377777777777776,44.491006172839505,0.0,3.6607901234567897,1.7304753086419755,0.8134999999999999,3.861845679012346,1.6527283950617284,0.8093209876543209,1.1469012345679013,1.9009814814814816,1.3943333333333332,-0.3573753679180987,-2.349222187890021,-2.761993637190646e-17,True,False,False,False,False,False,False,False,False,False,True
26.0,0,2,860000.0,0.0,1.67,58.06,0.748,4.45,1.82,0.76,2.53,2.58,0.71,1.26,2.58,1.57,-0.3573753679180987,-0.5417254368507958,-1.353647484130533,True,False,False,False,False,False,False,True,False,False,False
26.0,1,4,2200000.0,0.0,2.01,49.59,0.832,4.72,1.64,1.01,5.16,2.14,1.07,1.01,1.83,1.13,1.319999010333596,0.0355783247470002,-0.024791512659241406,False,False,False,False,False,True,False,False,True,False,False
28.0,2,1,600000.0,0.18,2.93,53.13,0.791,4.83,2.02,2.02,4.52,3.36,1.22,0.98,2.32,0.24,-0.3573753679180987,-0.7779868636627574,-0.042566469976014584,False,True,False,False,False,False,False,True,False,False,False
21.0,0,2,270000.0,0.0,2.05,20.06,0.655,1.95,1.75,1.17,5.94,0.58,0.29,0.68,0.49,0.39,-0.3573753679180987,-0.787743552443879,0.23012369010884107,False,False,True,False,False,False,False,False,True,False,False
31.0,7,4,4720000.0,0.29,3.78,37.28,0.699,5.54,2.68,1.0,7.41,0.76,0.14,0.53,0.29,0.72,1.319999010333596,0.9988816394412462,1.8865157830486539,False,False,False,True,False,False,True,False,False,False,False
26.0,14,3,1540000.0,0.31,4.31,36.5,0.752,3.63,2.33,1.24,4.99,0.68,0.34,0.47,0.4,0.09,7.139493811486562,2.5242014022665686,0.11105241061836149,False,False,False,True,False,False,False,False,False,False,True
24.0,1,3,3021160.0,0.07,1.93,53.12,0.877,4.82,2.08,0.82,0.89,2.15,0.74,1.71,1.04,0.96,-0.3573753679180987,-0.3783728772595017,-1.192669616488672,False,False,False,False,True,False,False,False,False,True,False
28.0,1,0,1020000.0,0.17,1.4,22.15,0.512,1.4,0.52,0.17,4.01,0.52,0.52,0.52,1.22,6.8,-0.3573753679180987,-1.466845169650173,0.7709759802562564,False,False,True,False,False,False,False,False,False,False,True
25.0,2,4,740000.0,0.06,0.81,39.56,0.8,2.68,0.25,0.16,0.06,1.71,1.31,1.56,5.3,3.43,-0.3573753679180987,2.612180782704069,-0.9558850912098996,True,False,False,False,False,False,False,False,False,False,True
